날짜,리뷰 제목,리뷰 내용
2018-08-26 00:00:00,,"love the suv,  except for one thing.  The transmission tends to ""pause"" between gears.  I brought this problem to the attention of three dealerships, but was ""blown off"" each time.    Finally I got a letter from Toyota extending the warranry on the power train, because of problems with the torque converter on some Rav4s.  That hejped, but dealers still will not take any action without charging me for diagnostics.  With the extended warr. I am not as worried now, but would still like to have it checked before I end up stranded out in some remote place. 

UPDATE:  Sold the 2013 to an attorney.  He took it in to dealership and demanded action on transmission problem.  They tested it and confirmed what I had been  trying to tell them for over a year.   The dealer completed the work at no charge (over  $1800.00), even though warrenty was over.  It helps to be more
forceful (and have a law degree I guess. )"
2022-02-24 00:00:00,,"Bought this car (XLE with AWD) in 2016 with high miles at the time (81,000).  It now has 161,000 mi and it’s as solid, strong, reliable and comfortable as the day I bought it.  
Plenty of passenger and cargo room.  Plenty of power from the 4cyl engine, especially in Sport mode.   Great gas mileage for an SUV.   And right up there with the most comfortable seats of any car I’ve owned (I’ve owned 43 cars).  
I replaced the tires with Pirelli Cinturatos, which enhanced the ride, quiet and road performance. 
One of the very best all-around cars for daily driving I’ve owned."
2022-01-23 00:00:00,,"Listen, I love my Totoyta Rav 4 limited. It drives nice, comfortable nice features.. but I can't get past the tailgate. ITS AWFUL. I bought it used last year, everything seemed great, then my tailgate had issues opening. I got my car in December,  live in Canada, so I thought maybe it's just too cold for it to work properly. Wrong. I didn't even have it for 2 months and I was having issues and they have yet to be resolved with any resolution in sight. Took it to the dealership, they said basically all I could do was grease it up and clean it. Huh? There isn't function to turn it off but it still doesn't open properly which is really annoying. I wish there was the option for it to open just like a regular trunk. The same day I was at the dealership a lady had the same issue with her car but it wasn't even closing or opening. 
How isn't this addressed when it's the main issue with this year's make. I am not very happy about it. Anyways just something to think about. The feature is nice when it works. Which is never"
2021-12-08 00:00:00,,"This is my second Rav 4 and I love this car!  Gas mileage good, next time hybrid. Stylish, sporty or elegant. Can’t wait to get another one."
2020-06-01 00:00:00,,"Four stars out of five so I'm telling you that I have had 6 years and 80,000 miles of trouble free performance from my 2013 Rav 4. I like the ride, the style and the convenience of the RAV4 Limited crossover.  All I wanted in regards to power is to be able to hold 77 MPH on the highway with the air conditioning on and it does that. This was my first Toyota and I'm disappointed some quality issues. My moon roof started rattling the day after the warranty expired, the interior  lighting is a joke, the rear head rests block the rear view mirror and the driver side seat pinches my bottom and isn't holding up well. The keyless entry has always been erratic. Sometimes I walk up to the car and it's unlocked when I know I locked it walking away. When I took it to the dealer, it works as expected. Nice car but I'll try another brand next time. I like my wife's Hyundai 2012 Tuscon a little better."
2020-05-07 00:00:00,,"I purchased this vehicle a year ago with approximately 80k miles. I have since put on another 20k miles, just surpassing 100k overall. I have had no non-standard repair during this time. Overall, the vehicle is comfortable, with balanced drive, steering and handling. The powertrain is adequate. I am using Eco mode and achieve an impressive 27.7 MPG overall. I am very pleased with my RAV4. I have the space I need. It's comfortable and capable for nearly all situations, even traveling and it is inexpensive to drive."
2016-09-26 00:00:00,,"Just retired and was looking to replace our 2006 Toyota Rav 4 - Found this 2013 at a local dealership, called to see if still available, went over to test drive, got the ""bottom line"" price and went home to think it over.  Went back 4 days later and bought it.  The salesman was awesome, the dealership itself has some problems it needs to overcome, but generally it all went well -  After 3+ weeks we got the paperwork from the dealership & paid for the tag, etc. so we are off and running and anxious to get this our new Miss Scarlet on the road.......
Update: Miss Scarlet will be 2 years old to us come this August and our odometer reading is now 32,700, we have put about 9,800 miles on it in two years with no problems - Still loving that Rav of mine!"
2020-03-04 00:00:00,,"On my second set of tires, both have had a flapping sound on the left front tire side.  First with the original Michelins, and now with Continentals.  Toyota needs to fix this..."
2020-02-12 00:00:00,,The rear license plate makes a lot of noise while driving. People in back seat complain every time they sit in the back. They need to provide a stronger holder or find a way to fasten the lower part of the license plate.  Great vehicle otherwise.
2019-12-22 00:00:00,,Nice comfortable small suv that serves as a mini truck. It pulls a light trailer with command. Can't beat the reliability and low cost of ownership. Still stylish and fun to drive.
2019-12-22 00:00:00,,Nice comfortable small suv that serves as a mini truck. It pulls a light trailer with command. Can't beat the reliability and low cost of ownership. Still stylish and fun to drive.
2019-11-24 00:00:00,,Great awd suv fun ride.
2019-11-15 00:00:00,,"My once beautiful 2013 rav4 (blizzard pearl that co $$t extra)is shedding it's paint. Toyota's engineers are working on a fix😉😉🤔or are they?your true worth is when you have a problem and you CORRECT it, as durability was once a calling card for toyota. This from a disappointed  toyota owner of over 30 years. Please take responsibility for a KNOWN problem"
2018-12-13 00:00:00,,We love this car. My favorite of all the cars we’ve owned. Great when it snows. Never had any trouble getting in or out of our half circle driveway. A bit of an uphill slope at both ends. We just bought a 2018 Rav4 & so far we love it too.
2019-05-04 00:00:00,,"This SUV meets the needs of the typical SUV driver. It was priced reasonable, is very comfortable, has great space for passengers, as well as the cargo area. It is also designed to protect the passengers. I was rear-ended at a stop light. The idiot was driving at at least 35 mph. The back end crumple zone did its job and I was uninjured. The repairs were reasonable, and parts readily available. The gas mileage is very good, and I do a lot of stop/start in- town driving. I live in south Florida and the paint job still looks new. This is also the only vehicle I've owned where I could figure out all the different controls--very straight forward. Highly recommend this SUV."
2015-04-03 00:00:00,,"We noticed a very rough ride after we purchased the car. The dealer said we could buy new tires. We declined. We feel every bump in the road. Hopefully readers have some suggestions. Our current solution is with additional outdoor cushions which we place on the front seats. This is awkward but it helps. RJM

The rough ride is a real problem. After two years I have gotten used to it. However, we take our other car, a Lexus, for any long trips

The two other problems are the poor design of the map console which is impossible to see in bright sun light  and backing where the visibility is limited and in sun light you can’t use the back camera viewed through the console"
2017-10-27 00:00:00,,"I have owned Toyotas now for going on 15 years. I had decided I would never buy anything but Toyota. I had always had great sales experiences and liked the products. Recently I got a letter in the mail that my RAV 4 may have a faulty torque converter. After reviewing the signs I quickly knew that I had been experiencing the signs of this issue and had been for some time. I took my care to the dealership as instructed. After review I was told I did have a faulty converter but also now a failing transmission. Toyota refused to take responsibility for the fact that the defective part caused damage to my transmission. I have been to two other mechanics since who tell me there is no doubt the two are related. I have the unique opportunity of being a community health nurse in my area therefore I get to be really present in my community. I often have patients and other nurses ask me about my car my experience. I actually have convinced on of my fellow nurses and one customer to purchase a RAV4. Due to this situation and Toyotas refusal to stand behind their product I plan to use every opportunity I have to let everyone I come into contact with know that choosing Toyota is a mistake. I also have several friends who are car salesman, I am going to share this experience with them so that they can let interested car buyers know that Toyota does not stand behind their products and that they are a bad choice. I had planned to purchase another Toyota for myself and one for my daughter this year as she is going away to college. I will definitely never do business with you again and will make it my mission to ensure to encourage everyone I know to do the same."
2018-07-24 00:00:00,,"This is my first Toyota. I am the original owner with about 70K miles since purchase. Had an issue with transmission shudder but recall replaced the torque converter at no charge and extended the warranty for the transmission to 150K. I have had the Toyota extended warranty to 100K with free oil and filter changes. Dealership service has been very good. As stated in the Edmunds review the vehicle is no speed demon [4 cylinder, 176 HP] however I have never found it to be lacking of power when I stand on the gas, it responds well. Interior [dash] is a bit plain but all controls are user friendly. Does not have navigation as I get better navigation from my cell phone. Fuel economy has been very good based on driving conditions. I average between 26 and 32 [city, highway] and am light on the gas when accelerating. Entry and exit is good as it sits up higher than sedans which are a problem particularly for exiting by my spouse and myself. Would like fold flat rear seats when hauling cargo, otherwise an all around good vehicle. Will consider buying another Rav4 but with all the competition in a few years the market may change considerably. With three Toyotas [two Prius and one Rav4] in our history we will likely stay with Toyota. They do need to upgrade the interior to bring a little more class and keep up with its competitors.Performance4 out of 5 stars"
2018-12-24 00:00:00,,I drove a 2013 Rave 4 with 21000 miles on the suv. This vehicle had the worst road noise that I have ever experienced. If your seriously considering a Rave 4 I suggest that you drive one around the block first.
2018-12-08 00:00:00,,Very dependable modelPerformance5 out of 5 stars
2018-10-21 00:00:00,,Every thing is excellent except entertainment system and fuel consumption. Was hoping For 30 MPG.
2018-08-08 00:00:00,,"So, this is our main car!  We go everywhere in this thing (wife and 4 kids).  The Pros: It is a Toyota with great resale value, 0 mechanical problems than regular maintenance (oil changes, brakes and tires), comfortable interior for the entire family, LOTS of cubby hole storage hidden all over this car, handles great on sunny/rainy/snowy days (I feel very comfortable with my wife taking a drive in the snow with the kiddos in this SUV).  For the 4 cyl engine, it has a higher tow capacity than any other comparable SUV I have found.  The Cons: Not really much to say here though have two very minor things to comment on: 1) the reverse camera does not allow you to toggle for directional tracking of where your car will be with the angle of the wheels.  This is a very handy feature to have that is missing here. 2) The USB plug barely charges your phone.  As this overrides the BT function of the radio and phone, your music and such are fed through the USB, but your battery will still drain.  Leaving BT on and having my iPhone plugged in on a 2hr drive my phone lost 23% battery life instead of charging.  Road performance.  I have driven Toyota's many times in my life and am a huge fan of the Rav.  It has a peppy pickup and go from stop or while in motion.  Sometimes (especially in my town where speed limit is often 25mph) maybe a little too much pep?  I find myself taking my foot off the gas very quickly to coast and ride the brake time to time in residential areas.  The visibility for the driver can hardly be beat than with the Rav.  Very few blind spots.  A U-turn does require a little more than a standard 2 lane road with the expansion of the wheel base, but still, for the extra foot length of the car to its predecessor, I'll make the swap.  Road noise is there but not bad at all.  You feel the road without feeling like you are being beaten to death by it, lol.  A smooth ride in a vehicle that can still hug curves at decent rates without squealing tires.  Interior comfort.  My kids have plenty of leg room in the back, and if the front passenger and driver are willing to give up a very little bit of theirs, adults can be in the backseat comfortably.   The cup holders for front and back are well placed, and the seats are comfortable.  Personally i feel the front seats have a bit more padding in them for the rump than the back seats.  As I am a bigger guy and my knees don't like me squatting into and out of sedans much any more, I find the access very easy without having to climb up and in.   The back area of the car with the rear seat up is quite large for a small SUV.  My Mastiff ( a 160lb dog) fits back there comfortably.  If I need both of my dogs to go somewhere, then the seats have to be folded down.  Gas MPG is decent for an SUV with AWD.  Before we moved to the mountains we were getting approx 26 in city and 32 on highway.  Now I need to get my car tuned for the altitude as we are down to 22/28 MPG."
2018-06-05 00:00:00,,Know your needs and seek out info on the competition...
2018-03-15 00:00:00,,"I really like this vehicle. No, I think I love this vehicle. I bought this vehicle from my dad who had this before me and he loved it. He is 82 and was just ready for another vehicle. The interior is roomy, the instrumentation is easy to learn and view and the comfort of the seats is fine. Seats are not as comfy as the Volvo I just sold but are good for an SUV. Has the heated leather (or imitation) seats that are comfortable and easy to maneuver and the gas mileage is awesome, especially when you put it in Eco mode. My dad didn't know about the different settings (said he never knew they were there) due to their awkward location but I am fine with it. I don't switch modes when I am driving anyway, I keep it on Eco. At present, the tires that are on the vehicle do not ride smooth and make a humming noise but I am convinced that is due to the tires, not the vehicle. I drive 120 miles to and from work so I need comfort, economy, a good sound system and storage space for my ""stuff,"" golf clubs, foldable chair, etc. So far this vehicle is excellent for what I need. I look forward to many years in this nice ride."
2018-03-10 00:00:00,,"This is our third consecutive Toyota RAV4 since 1966.  We’ve always been very pleased with the reliability of our Toyota’s.  However, it’s time to try something different.  The extra safety features in the new RAVs are pricing us to look at the other SUVs in the marketplace. I’m annoyed that even to have push button starter will force me upgrade thousands of extra dollars making it overpriced compared to other SUVs."
2018-01-23 00:00:00,,"I have had my RAV for almost five years now and it's been a great vehicle.  Despite being the first year of the redesign, this SUV has been super reliable.  I can't recall having anything fixed or repaired during the past five years.  It's been that good!  Aside from the reliability, the gas mileage is another highlight.  I usually get 28 MPG in mixed driving, which is outstanding.  I am a fairly conservative driver, but that is still outstanding.  I love the blue interior lighting.  Also, with 56K miles, I still have the original Toyo tires, which have worn very well.  I'll probably need to get new tires at 60K miles.  I have the basic sound system, not the JBL upgrade, and the sound is excellent...good powerful bass and crisp treble.  The bluetooth and navigation work pretty well, although the nav has slow response time and sometimes misses the target location by a half mile or more!  One gripe is that the fake leather gets very warm in the heat and doesn't breathe at all, leaving me with a sweaty back!  The ride can be a little on the firm side too, especially at lower speeds on side roads.  The highway ride is reasonably smooth and quiet.  Lastly, the interior design is a bit of a mish-mash...lots of different colors and textures that don't always look like they belong together.  Overall, I've been very happy with my '13 RAV4 Limited!"
2016-10-31 00:00:00,,"I've owned a Rav4 since 2013, the redesign model year. If there's one thing you should know, it is this:               The interior cabin is filled with rattles and squeaks.                In less than three years (still under warranty as I write this), I've had no less than 4 different rattles and tapping noises to chase down. This started before 1K miles!                        The materials are very cheap Chinese plastics. I had one HUGE dash vent rattle fixed by the dealer. I'd been to the dealer a total of three times to fix the other noises and a ""catch"" in the moonroof cover to no avail. So, I've had to watch youtube videos on how to take apart the dash pieces to fix them myself.                                      After taking the dash apart, one thing is apparent: If Toyota would use slightly better grade materials and have the factory workers put another few minutes into assembling the interior, this could all be avoided.               The other thing you should know about is the Info- tainment system. Toyota Entune system is a joke and all Nav head unit functions are slow and clunky especially when compared to other auto makes from the same era. It's like Toyota was 3 years behind the others in what they offered and how smoothly it works… another obvious COST CUTTING measure.                                                                                            Other than the glaring interior quality issues and a slightly harsh ride on the 18"" Bridgestone Dueler stock tires, the motor, transmission and brakes have been fine so far.

Last words: I bought this car blindly on the history of owning 9 Toyotas before it. My mistake but who would think these guys could build such a P O S after a long history with the brand?

My last Toyota. I'm moving to Mazda.Technology1 out of 5 starsPerformance2 out of 5 starsInterior1 out of 5 starsComfort1 out of 5 starsReliability2 out of 5 starsValue3 out of 5 stars"
2014-03-24 00:00:00,,No Review Text Found
2017-04-16 00:00:00,,"The seats are like sitting on a 1 x 4 piece of wood. Zero thigh support and it kept feeling like I was sliding forward.  The suspension is extremely stiff and you will feel every bump in the road (even the ones you do not see). After a 600 mile trip to Florida, my back was in pain for 3 days. In fact I always feel pain even after an hour of driving it. It is a beautiful SUV for sure... but it is like my last marriage.... I was fooled by my ex wife's good looks, and I endured a rough and punishing several years. Today I traded it in for a used 2010 Lexus ES 350 for the exact same price I paid for the 2013 RAV4..... Night and day smoothness!! And the soft seat cradles me like a baby. Never a Toyota again."
2017-03-31 00:00:00,,"Owned 2013 RAV4 since June 2013. Gave vehicle to my daughter last month (Feb 2017) - not because there was anything wrong with it or that I was no no longer satisfied. I retired and wanted a new vehicle. Would have gone with another RAV4 if the body style had changed more over the years. The dealership (the only one in Tallahassee Florida so you know who you are) offered the bests service of any I've worked with. Really wanted to stay with them but could not find a body style I like. ""RAVen"" had 53000 miles on her and provided great reliability. Only had to have routine maintenance. Still got good gas milage and it appears to be the average (26) for vehicles in that class. The head lights need some major improvements. To get more visibility at night, I used the fog lights when traveling on unlit streets.  My last review is a resounding two (2) thumbs up!!!!"
2014-09-24 00:00:00,,"I have owed the 2013 RAV4 since June 2013. I love, love, love this car!!! Get good gas milage; 26 city; 31 hwy. The Toyota Care is outstanding. The only complaint I have is the upholstery. I bought what I thought was leather but it turns out to be Soft Tech which is a vinyl. The color is beige and stains very easily. Seats have blue jean staining and it will not come off! The dealership is no help on this issue. They ""kinda"" change the subject when I bring it up. I would buy the RAV4 again but would just go with the cloth seats unless genuine leather is offered.

3/26/2017 Gave vehicle to my daughter - not because there was anything wrong with it or that I was no no longer satisfied with it.  I retired and wanted a new vehicle. Would have gone with another RAV4 if the body style had changed more over the years.  The dealership (the only one in Tallahassee Florida so you know who you are) offered the bests service of any I've worked with. Really wanted to stay with them but could not find a body style I like. ""RAVen"" had 53000 miles on her and provided great reliability.  Only had to have routine maintenance.  My last review is a resounding two (2) thumbs up!!!!Performance5 out of 5 starsInterior5 out of 5 starsComfort5 out of 5 starsReliability5 out of 5 stars"
2013-09-10 00:00:00,,"Bought XLE June 26 2013 and I love it!!! Have 2000 miles and get about 27 miles per gallon in city. Have not made any road trips yet. I am 5'11"" and my husband is 6'2"" and we both are quite comfortable. Vehicle has good pick up so no worries about merging onto interstate. Test drove Mazda CX5 and Honda CRV. RAV4 offered more options in the base price
and the cabin was not as noisy. Black carpet shows every speck of sand. Floor mats are a flimsy for the extra cost (nearly $300.00). Ordered an extra set online (must more cost friendly) to have on hand. ""RAVen"" (I have named her) is a real looker. Removal of ""barn"" rear door was the best thing ever!!!! 

9/14/2016 Still love ""RAVen"".  I have 45,0000 miles on her.  She still looks and runs very well.  I thought I ordered leather seats but they are not.  The synthetic fabric stains easily and things like blue jean and  ink from paper transfers are impossible to remove.  Think Toyota should offer a choice of leather or the synthetic fabric. The gas millage is not as good as when she was new. Averages about 24 miles per gallon in city and a little more (28) on highway.  Will be replacing her in January 2017, not because I have any issues, because I will be retiring and want a new vehicle. Would consider a RAV4 if the body style changes greatly.

3/15/2017 Gave car to my daughter. RAVen had approximately 53000 miles on her. She is still a great car and has had no issues other than routine maintenance. The dealer ship where the vehicle was purchased was outstanding. The body style did not change drastically since 2013; therefore; I bought a 2017 Nissan Rogue SV. This my last review is a resounding two (2) thumbs up!!!!!!!"
2017-02-09 00:00:00,,"Rides good, took a while to find a comfort setting for the seats. Good on gas. Good car for the pricePerformance3 out of 5 starsInterior3 out of 5 starsComfort3 out of 5 stars"
2017-01-04 00:00:00,,"RAV4 Limited has all the bells and whistles one needs in snowy Anchorage, Alaska. This vehicle exudes confidence on the road and is expected to provide many years of top-level reliability. Besides the backup camera (our first in a vehicle), the blind spot alert feature may be the best feature in this car. It works and makes one wonder how one could live without it! 2013 RAV4 Limited is a great vehicle!"
2016-11-18 00:00:00,,"Since purchase have added towing package -side moldings -xtra exterior chrome,front and rear plus extended warrant that is transferrable"
2013-10-14 00:00:00,,"We had the Toyota RAV 4 Limited AWD since May 2013 and disposed of it April 2015. At first as liked the RAV. Then as we drove it little things just got annoying. Front seat driver and passenger shoulder to shoulder, the sliding console always moving at the wrong times, smaller steering wheel and guages. The Sport button and other buttons hidden behind shifter so low that you had to take your eyes off the road to make adjustments. My wife and I are not large people and we felt a little clostraphobic. What pushed us over the edge was that our 2 labs had no place to move in the back seat and the last straw was the short wheelbase and Bridgestone Duellers that caused every bump to vibrate the entire car. Have to mention that the Duellers were horrible in the snow. Pluses were gas mileage and looks. I couldn't take it anymore and bought a Highlander Limited and I haven't regretted that choice. Should have done that a year prior. Nevertheless, if you like a 1 person car and don't mind kidney vibrations the RAV is a good choice. 

All in all this is a one person car.Technology2 out of 5 starsPerformance5 out of 5 starsInterior3 out of 5 starsComfort2 out of 5 starsReliability5 out of 5 stars"
2016-10-06 00:00:00,,"I have a 2014 Rav 4 AWD Limited. For what I payed for this SUV I was not impressed with the interior. It is cheaply done. It took me three weeks to decide if I wanted it. My last 2 vehicles were Acura, so you cannot put these two side by side. The RAV4 gas mileage in the city is about 16-17mph. I don't believe their numbers they have listed anyway. I got to really appreciate the softex interior. I always had leather but as we all know it cracks etc. this softex looks like I just drove off the lot with this SUV. This was very smart of Toyota to put this in their RAV4. I never had a problem at all with the interior. I love the RAV4 but if I had my choice I buy the Acura. Nice little truck but it's not an Acura. Just like the Lexus IS like a Rav. I owned a Lexus and they do not compare to the RAV4 even a little."
2016-08-26 00:00:00,,I purchased this based on Toyota reputation. This is my 3rd Toyota. I purchased this car for my daughter hoping it will last her for at least 10 years.
2016-08-17 00:00:00,,No Review Text Found
2014-06-14 00:00:00,,"I have had this vehicle since August 2013 and have had absolutely no issues with it. I was somewhat surprised at some of the reviews in this thread as I have owned many Toyotas and have never experienced a problem they could not fix. I live in Arizona and we may have smoother roads than some of the cooler weather states, but I have found the Rav4 ride to be exceptional for this vehicle class. The features available on the Limited are outstanding, everything works perfectly and I love the versatility of the transmission.
Heck, you can treat it like a manual and in Sport mode that is fun. Bought it at end of lease!!Technology5 out of 5 starsPerformance5 out of 5 starsInterior4 out of 5 starsComfort5 out of 5 starsReliability5 out of 5 starsValue5 out of 5 stars"
2016-06-08 00:00:00,,I like...
2023-05-25 00:00:00,,"Simply stated, I love my RAV4. It’s 9 years old now & practically in show room condition. I only have 67,000 miles on it. It’s barely broken in. I’m glad I opted for the Limited trim. It has a lot of nice, maybe even luxurious features. In addition to the features that were standard with the car, I’ve added remote start & blind spot monitoring & cross traffic alert. A lot of people want to buy my car. I’ve done all the service & treated it gently. Too bad for them. I want to keep this car a long time."
2023-02-11 00:00:00,,"Great handling, comfy interior, useful features"
2023-01-10 00:00:00,,"dependable, roomy, frugal, easy to get in/out of."
2022-12-13 00:00:00,,"I’m unfortunately selling this vehicle currently. However, that is due to my cost for insurance. The vehicle itself is quite simply the best vehicle I’ve ever own. Bought at 89,000km and two and half years have brought up to 144,000km. Haven’t had to take it into the shop for mechanical issues once. I would absolutely recommend this vehicle or other RAV4 models to anyone."
2017-05-19 00:00:00,,Aside from the stereo going out within the first two years this has been a great reliable SUV.
2020-09-20 00:00:00,,"This is a 6 month update to my 9/2020 review of my trusty RAV 4 LE bought new in 9/2014.  In 9/2020 I wrote that the RAV at 51,000 miles ""has been Toyota reliable except for a failed CD drive at year 4.  There is bluetooth and a USB input so all is not lost.  Still comfortable at speed on smooth interstates.""  6 months later:  The RAV seems to me to be aging rapidly.  Total miles are about 51,500 --  I've driven only 2,000 miles in the past 14 months(!)  In addition to the unrepairable CD drive mentioned in September, the keyless entry system has failed.  Second:  The car's ride is now very unsettled -- I've had shocks and etc thoroughly checked by my customary dealer.  They find nothing.  Maybe my problem is new stiff tires?  -- But I think that's at best only part of the issue.  So the ride is now UNacceptable to me on any surface.   Realignments are necessary about every 2 years if your streets are as rough as mine.  So the RAV is still reliable & trouble-free mechanically, but noise and ride are wearing me out.  Others may not care or notice such changes. Other trim levels or more recent versions of this RAV may be quite different. Please note that Toyota recently did a thorough re-do of the RAV, so current new RAV's may be much different.  I will say -- my experience with the 2014 RAV is dramatically different from my 10 years with a 2004 Camry LE which overall was an astonishingly good ""basic transportation"" vehicle. I won't have this RAV for 10 years."
2020-09-01 00:00:00,,Great car the only thing I could tell you is the steering is very light must pay attention all the time to keep car in center of the lane
2019-11-28 00:00:00,,"This is quite possibly the most reliable, most useful vehicle I have ever owned. My last three vehicles are a 2013 Mini Cooper ""S"" Hardtop, a 1996 Chrysler Concorde and a 1996 Chrysler LHS. My 2014 RAV4 kicks them all to the curb.

The MINI Cooper is too dangerous here in ""HUGE SUV-LAND, Denver Colorado"". I was cut off and forced into the end of a guard rail by an ignorant Audi driver (and ...really ...aren't all Audi drivers ignorant and arrogant?"" The driver was arrested for leaving the scene and several other charges.

THe MINI Cooper was a total loss, so I bought a 2014 AWD RAV4 with only 36,000 miles on it. A ""Certified Toyota Used Car"" which means new windshield, new tires, new engine parts where available. It was like a new car with a similar warranty. I bought it from a dealer. BEST move I have ever made. The car is a dream. There is no stopping it even in these Denver snow storms. And that 2.5 Liter 4-cylinder actually chirps the tires shifting into second on hard acceleration. Plenty of power!!

My wife has a 2012 RAV4 Limited with the 3.5L V6, and I must admit ...it is an awesome powertrain, and sad that Toyota ditched it in 2013. Witness every time we go into a Toyota dealership a salesman approaches my wife and offers her a generous price for it, since the 2012 was the last year the 3.5L was offered on the RAV4. She politely declines. Her car is paid for, and likely to go 500,000 miles or more. It has over 100,000 on it and drives nice, crisp and tight like a new car ...still! In the old days we used to look to get rid of our cars when they hit 100K. Not Toyotas. Many Tacomas and 4Runners hit a million miles. A million!! 

Toyota has the right reliability formula."
2016-04-27 00:00:00,,"My 2014 RAV4 is the best car I've ever owned.  It gives me everything I want from a vehicle of this class.
At 51,000 mi the car is still A-1."
2018-08-17 00:00:00,,"When you buy a Toyota, you expect to have it fo 200,000 miles or more, and this is well on it’s way there. Zero major repair issues (knock on wood), strong highway mileage of 30MPG, and a great riding position make this the favorite SUV ever. We’ve had a Highlander, which was also outstanding, but the RAV4 is a little bit less and and a little bit easier. Easier to park, easier on the wallet. I would buy another one tomorrow.

About three years into owning the RAV4, the only issues we’ve had are a mis-signaling tire pressure warning (minor), and the failure of the radio system (annoying!). Apparently, the radio issue is something that’s well known in the Toyota owner message boards. Replaced it with one from an electronics store for $250, and it’s better and more current than what came with the car."
2019-06-12 00:00:00,,My sister in law bought a Rav 4 And all of the lights of the dash lit up and the dealer told her it would cost more to fix it then to buy another like vehicle.  So the dealer turned off the engine lights and they were able to trade it in for a Jeep which they have had now for 5 years with no problem.  The Toyota dealer also admitted that they had similar problems with the Camry.  Toyota used to be a good car but they are over rated.
2018-06-20 00:00:00,,"My onboard radio went out of commission at the 4th year. I spent another $780 to get a new one.They said the wiring and interface of Toyota radio was too complicated to work properly. I never drove a car with radio went dead first. Is this ""Toyota quality""?  OMG!  They ought to be ashamed of themselves. Not gonna buy Toyota anymore.  In addition to the radio,  my shock absorber tuber was leaking on the first 3 yrs, Toyota quality was once famous, not anymore! I'll buy Subaru next time."
2019-02-10 00:00:00,,"At about the 4.5 year mark, my radio/navigation console went out with a constant loading screen that changes in brightness sporadically. Not only is it a distraction while driving, but I was told by the dealer the repair would cost $1600 since the general warranty coverage was over past the 3rd year. My USB port is also not working. I bought the car new and this is very upsetting. You expect reliability with Toyota and I am shocked to have issues like these so early on. While searching the internet to solve this electrical issue, I found that this is very common of the 2014 Rav4 at the 4th year."
2017-02-06 00:00:00,,"We don't drive much so we only have about 6800 miles on our 2014 RAV4.  Here are the impressions. 1) Handling low speed is great.  Nimble and quick.  On the highway it's downright dangerous.  Wanders aimlessly with no road feel. Best snow driving car ever, though!  And we have had Jeeps 'forever'. 2) Brakes are terrible but dealer says 'normal'.  As you come to a rolling stop, like a traffic light, the pedal suddenly drop about an inch or more.  You react by pumping to brake to restore height. 3) Transmission shift great up and down.  CVT is impressive.  4) Interior issues include a) the silly armrest slides back and forth about 100 times a day when driving or getting in/out; b) Like most, the backup camera is pretty much worthless during the day/great at night.  Also, the angle of the screen forces the driver to lean to passenger seat to view clearly day or night. 5) Radio is very poor.  Turns on, Changes stations or modes or even volume by itself.  Even if you are not touching the steering wheel at all.  Dealer says 'normal'. 6) Great for little people but sucks if you are tall.  Getting in/out a challenge and, because there is no tilt function on the steering wheel, you smash your knees every time.  7) Annoyances include: a) Cheaped out idea to use the same switch on driver/passenger door locks saved them 10 cents but make it tough to use since lock functions are opposite on passenger door; b)  Downright silly programming on the rear hatch lift.  And poor button placement too.  Needs an exact set of circumstances to allow open/close. b) Also silly programming n the chime alerts.  You'll spend lots of time trying to figure out what it wants and getting it to shut up is often a multi-person game.; c) Information screen is worthless and tiny. d) Seat belt attachment point is too low.  You spend a lot of time just trying to get it high enough to connect. e) Supports for power liftgate are out pretty far.  Be prepared to whack your head often if taller.  New iisues: water flowing in around windshield.  2018 Update: I figured out the screwy radio issues: system remembers even passive steering wheel button contact EVEN WHEN CAR IS OFF.  Then, when you turn he car on, it starts going thru button command you may have accidentally hit while exiting the car.  Very strange.  Just try and replace the rear wiper. All blade  manufzcturers show their blades fit. They do not. Toyota wants you to buy from them alone for big $$$$."
2018-12-13 00:00:00,,"I have a 2014 Rav4. I have had nothing but electrical problems with locks and now my radio/cd/navigation.  I have had electronic malfunction with locks which have been replace numerous times.  It was fine when it was under warranty, but now that it is out of warranty. Right front passenger door won't open with key fob or with button on drivers side.  It needs new actuator to the tune of $260.00, which is simply a magnet in the door to signal the lock to open and close. I called Toyota and they would DO NOTHING.  How can you stand by your quality of your parts which can't even seem to last over a year?  This vehicle is 4 years old.  Now the radio stopped working. Same problem hundreds of others are complaining about with the same year Rav 4.  Are you kidding me? The dealer wants $1200.00 to replace.  I am disgusted in the quality and lack of responsibility of Toyota to stand by it's products and take care of their customers.  Are you looking at these reviews Toyota??  You have a lot of dissatisfied customers."
2018-10-05 00:00:00,,"Good price, looks, and gas mileage. It always starts,good acceleration.     Now.........Problems:  poor paint quality/rusting around doors and lower aspects of car, loud inside/sounds like a semi, rattling sound from dash/unknown origin, radio system went out/a known problem with this vehicle and the dealership repair is about $700, drivers side seat clicks and moves when in locked position, requires a fancy oil change that costs about $65 each time, no response from Toyota from an email detailing complaints, no support from dealership, which I understand, because limited warranty had expired..just as problems started showing up."
2018-08-18 00:00:00,,"Take a long test ride over bumpier roads, like we didn't.Performance5 out of 5 starsComfort2 out of 5 starsReliability4 out of 5 starsValue4 out of 5 stars"
